CustomerID,Age,Gender,Segment,NPS,ChurnLabel,TotalPurchaseValue,SubscriptionPlan,TotalLatePayments,PageViews,TimeSpentOnWebsite,NumberOfLogins,FrequencyOfInteractions,Rating
1001,31,Male,Segment B,3,1,20819.84,Express,40,49,15,19,Weekly,1
1002,66,Female,Segment C,6,0,3804.05,Pro,10,100,9,9,Weekly,2
1003,36,Female,Segment B,3,0,5259.54,Essential,8,1,97,19,Monthly,4
1004,62,Female,Segment C,1,1,6067.36,Smart,79,25,31,4,Daily,1
1005,68,Female,Segment C,3,0,18165.53,Basic,2,77,51,12,Weekly,3
1006,65,Female,Segment A,2,1,6929.860000000001,Select,73,40,17,23,Daily,2
1007,52,Female,Segment B,1,1,20961.7,Prime,50,23,25,15,Weekly,5
1008,48,Male,Segment B,1,1,33367.49,Silver,91,35,33,6,Weekly,2
1009,66,Female,Segment C,6,0,25610.52,Gold,12,75,8,26,Daily,1
1010,67,Female,Segment B,5,0,8475.44,Plus,6,65,47,22,Weekly,1
1011,18,Male,Segment C,0,1,13003.609999999999,Express,65,50,33,4,Weekly,4
1012,60,Male,Segment C,0,1,1698.06,Smart,10,94,3,15,Monthly,4
1013,54,Male,Segment C,2,1,10827.31,Elite,72,67,7,16,Weekly,3
1014,45,Female,Segment C,8,0,6355.75,Trial,9,85,29,9,Weekly,3
1015,29,Male,Segment C,1,1,18204.44,Trial,64,57,4,9,Weekly,1
1016,57,Female,Segment A,6,1,26819.67,Select,7,36,81,23,Monthly,4
1017,18,Male,Segment B,1,0,23192.239999999998,Silver,9,35,87,28,Daily,1
1018,18,Female,Segment B,2,1,17047.98,Flex,70,15,11,15,Daily,1
1019,29,Female,Segment B,1,1,6801.88,Student,80,91,31,26,Weekly,2
1020,43,Female,Segment B,6,0,28807.93,Family,11,70,67,25,Weekly,2
1021,67,Female,Segment B,8,0,10399.36,Basic,11,35,14,17,Daily,5
1022,66,Male,Segment C,7,0,16400.55,Student,6,49,8,24,Monthly,5
1023,31,Male,Segment B,8,0,11590.06,Bronze,10,63,21,19,Daily,1
1024,48,Male,Segment C,0,1,28588.86,VIP,74,52,24,30,Weekly,5
1025,18,Female,Segment C,3,0,24998.9,Select,7,35,1,18,Monthly,5
1026,23,Female,Segment A,2,1,23533.51,Deluxe,60,34,11,30,Monthly,5
1027,30,Female,Segment A,6,0,7954.9400000000005,Silver,7,8,43,7,Monthly,3
1028,54,Male,Segment C,1,1,8752.72,Prime,53,36,17,3,Daily,2
1029,57,Male,Segment B,2,1,21733.57,Unlimited,59,76,16,1,Daily,1
1030,67,Male,Segment A,2,1,3012.94,Unlimited,73,52,23,16,Weekly,2
1031,63,Male,Segment B,6,0,36764.88,Student,12,6,32,13,Daily,1
1032,52,Male,Segment B,4,0,4730.299999999999,Gold,7,22,48,21,Monthly,3
1033,70,Male,Segment C,9,0,16356.52,Bronze,10,58,69,18,Weekly,1
1034,41,Female,Segment B,7,0,39751.88,Gold,7,34,50,26,Daily,4
1035,54,Female,Segment C,6,0,19770.38,Gold,3,71,40,27,Monthly,5
1036,67,Female,Segment C,2,1,9426.94,Select,34,31,9,15,Daily,3
1037,19,Male,Segment B,0,1,2443.84,Express,71,98,35,6,Weekly,4
1038,21,Male,Segment B,9,0,8450.26,Elite,7,2,30,11,Daily,5
1039,34,Female,Segment A,0,1,480.02,Eco,60,57,2,21,Weekly,3
1040,69,Female,Segment B,7,0,9019.88,Trial,5,77,24,25,Weekly,1
1041,24,Male,Segment C,0,1,7598.889999999999,Gold,55,20,27,1,Daily,4
1042,43,Female,Segment A,0,0,16408.94,Silver,8,9,64,12,Weekly,1
1043,32,Male,Segment C,1,1,8952.599999999999,Plus,49,38,18,30,Weekly,2
1044,67,Male,Segment C,2,1,18427.86,Eco,57,68,10,12,Monthly,3
1045,54,Female,Segment C,8,0,3600.09,Student,7,98,15,25,Monthly,4
1046,65,Female,Segment B,9,0,26274.190000000002,VIP,10,3,83,26,Weekly,1
1047,36,Male,Segment C,3,1,2832.12,Silver,63,91,6,21,Daily,1
1048,63,Male,Segment C,1,1,20880.649999999998,Prime,40,65,28,26,Weekly,4
1049,30,Female,Segment A,4,0,25025.72,Flex,5,40,77,23,Weekly,4
1050,36,Female,Segment A,0,1,23762.93,Prime,79,97,26,14,Monthly,4
1051,23,Male,Segment B,0,1,9863.14,Unlimited,72,22,18,4,Weekly,5
1052,62,Male,Segment A,4,0,27758.27,Silver,9,53,93,20,Monthly,3
1053,67,Male,Segment A,3,1,21138.04,Elite,72,8,25,18,Monthly,3
1054,24,Female,Segment C,0,0,15418.369999999999,Pro,5,48,15,5,Monthly,1
1055,53,Female,Segment A,1,1,30498.73,Silver,59,54,13,9,Daily,5
1056,35,Female,Segment A,4,0,11577.76,Unlimited,7,36,73,28,Weekly,3
1057,70,Male,Segment B,0,0,9647.1,Bronze,8,49,87,2,Monthly,3
1058,21,Female,Segment B,1,1,3219.2400000000002,Pro,26,7,16,20,Weekly,5
1059,41,Female,Segment C,0,1,23031.059999999998,Pro,51,40,7,20,Weekly,5
1060,36,Male,Segment C,0,1,4522.5,Express,74,63,30,11,Daily,1
1061,65,Male,Segment A,5,0,8314.960000000001,Prime,8,37,70,16,Weekly,5
1062,36,Female,Segment A,3,1,8469.39,Flex,67,54,1,16,Daily,2
1063,32,Female,Segment A,3,1,19071.89,Basic,60,12,35,30,Daily,4
1064,55,Male,Segment B,3,1,26186.489999999998,Express,69,44,19,7,Weekly,4
1065,50,Female,Segment C,3,0,25692.75,VIP,7,29,12,27,Monthly,4
1066,38,Male,Segment B,0,1,25184.38,Trial,58,49,18,4,Monthly,2
1067,63,Female,Segment A,3,1,13989.140000000001,Prime,75,69,16,5,Daily,4
1068,59,Male,Segment B,3,0,16758.91,Pro,52,84,35,10,Weekly,3
1069,62,Male,Segment C,2,0,17229.530000000002,Bronze,9,12,71,16,Monthly,4
1070,62,Male,Segment B,2,0,17756.75,Gold,8,77,100,30,Daily,1
1071,22,Female,Segment C,2,1,30848.789999999997,Silver,84,58,1,14,Weekly,4
1072,47,Female,Segment A,8,0,21361.96,Unlimited,6,96,10,25,Weekly,5
1073,37,Female,Segment B,1,0,9913.81,Eco,6,31,61,2,Monthly,1
1074,62,Female,Segment C,6,0,4529.120000000001,Elite,10,99,88,8,Daily,3
1075,59,Male,Segment A,2,1,1271.6,Silver,61,97,17,24,Daily,1
1076,39,Male,Segment B,1,1,8465.099999999999,Unlimited,52,24,18,23,Monthly,4
1077,49,Female,Segment B,8,0,15592.66,Plus,2,51,18,15,Daily,1
1078,34,Female,Segment C,6,0,2500.4,Deluxe,9,83,11,14,Daily,2
1079,69,Male,Segment B,9,0,21687.239999999998,Elite,9,75,35,15,Monthly,5
1080,61,Male,Segment C,5,0,2432.2999999999997,Express,8,97,2,23,Daily,2
1081,30,Male,Segment B,0,1,31192.0,Bronze,58,19,22,29,Monthly,1
1082,70,Male,Segment B,7,0,4437.2,Plus,8,75,94,10,Daily,1
1083,51,Female,Segment A,0,1,12148.25,Express,49,47,2,28,Monthly,4
1084,61,Female,Segment A,7,0,13525.93,Smart,6,24,56,29,Daily,5
1085,54,Male,Segment A,2,1,26410.47,Elite,84,30,7,26,Daily,2
1086,66,Male,Segment B,3,0,25809.22,Trial,7,78,11,23,Weekly,3
1087,55,Male,Segment B,5,0,33620.43,Express,8,15,79,16,Weekly,5
1088,69,Male,Segment C,3,1,7581.8099999999995,Unlimited,63,42,27,20,Monthly,5
1089,29,Female,Segment C,7,0,19750.99,Silver,7,83,78,4,Monthly,5
1090,50,Male,Segment B,1,1,9786.56,Pro,56,64,10,5,Monthly,2
1091,65,Female,Segment C,3,1,16030.470000000001,Flex,60,99,30,16,Monthly,2
1092,58,Female,Segment A,3,1,17327.739999999998,Deluxe,40,5,26,13,Weekly,3
1093,22,Female,Segment B,3,1,11194.62,Plus,60,29,13,26,Monthly,2
1094,66,Female,Segment C,1,1,18293.77,Silver,76,65,20,11,Monthly,5
1095,38,Male,Segment C,0,1,1823.92,Family,59,42,4,14,Monthly,2
1096,57,Female,Segment C,0,0,8659.1,VIP,7,95,57,23,Monthly,5
1097,32,Male,Segment C,2,1,6585.61,Gold,62,48,6,30,Daily,3
1098,69,Male,Segment B,3,1,19170.510000000002,Smart,71,30,9,26,Monthly,5
1099,39,Female,Segment A,3,0,38819.18,Deluxe,12,23,46,13,Monthly,4
1100,37,Male,Segment A,4,0,14321.7,Eco,4,54,61,25,Weekly,2
1101,51,Male,Segment A,3,1,5592.4,Unlimited,57,69,26,28,Weekly,3
1102,43,Female,Segment B,0,1,10261.51,Eco,97,2,21,21,Daily,1
1103,63,Male,Segment B,1,0,32905.47,Plus,7,50,2,27,Weekly,2
1104,48,Female,Segment C,2,1,7776.16,VIP,106,43,16,7,Daily,4
1105,21,Female,Segment B,1,1,21598.05,Bronze,47,98,8,19,Weekly,2
1106,36,Male,Segment B,6,0,10182.44,Express,4,89,77,9,Weekly,2
1107,48,Female,Segment B,9,0,12052.26,Basic,9,59,67,14,Weekly,2
1108,53,Male,Segment A,0,1,30441.64,Deluxe,56,51,22,16,Monthly,4
1109,43,Male,Segment A,0,1,8963.039999999999,Prime,93,79,35,15,Daily,2
1110,23,Female,Segment A,2,1,11663.27,Smart,24,53,26,24,Monthly,1
1111,35,Male,Segment C,6,0,3299.21,Essential,9,45,100,16,Monthly,3
1112,37,Female,Segment C,0,1,6404.29,VIP,33,1,8,10,Weekly,2
1113,60,Female,Segment C,5,0,20975.870000000003,Plus,6,29,36,9,Weekly,2
1114,35,Female,Segment C,3,1,21840.3,Essential,77,62,12,3,Weekly,2
1115,22,Male,Segment C,2,1,18171.739999999998,Bronze,84,39,7,21,Monthly,1
1116,51,Female,Segment A,1,1,37732.78,Smart,66,57,20,11,Daily,1
1117,60,Female,Segment C,0,1,731.2,Student,37,41,18,1,Weekly,5
1118,28,Female,Segment C,0,0,917.98,Family,13,60,46,5,Weekly,4
1119,61,Female,Segment C,2,0,22429.04,Unlimited,5,84,2,18,Monthly,1
1120,70,Female,Segment A,3,1,20418.170000000002,Trial,49,24,29,18,Monthly,4
1121,63,Female,Segment C,0,0,12129.87,Basic,5,91,6,6,Weekly,1
1122,39,Male,Segment C,3,1,30211.52,Plus,68,69,23,9,Daily,1
1123,63,Male,Segment B,2,0,13777.16,Trial,5,36,98,16,Monthly,5
1124,66,Male,Segment C,3,1,5226.97,VIP,36,100,33,15,Daily,4
1125,50,Female,Segment B,3,1,5061.52,Prime,55,65,11,23,Weekly,1
